FOODCODE,DESCRIPTION,F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks)
53430750,"Tamale, sweet, with fruit",0.16,0,0.16,0,0,0,0,0,0,0,0,0,0,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,2.4,0
53440000,"Strudel, apple",0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,1.26,0,1.26,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,10.65,4.81,0
53440300,"Strudel, berry",0.42,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,1.29,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,2.55,2.99,4.94,0
53440500,"Strudel, cherry",0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,1.11,0,1.11,0.61,0,0,0,0,0,0,0,0.06,0,0.55,0,0,0,0,0,5.66,2.45,5.49,0
53440600,"Strudel, cheese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,1.19,0.16,0,0,0,0,0,0,0,0.16,0,0,0,0.43,0,0,0.43,1.88,8.46,4.96,0
53440700,"Strudel, peach",0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0.07,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,2.12,2.48,4.1,0
53440800,"Strudel, cheese and fruit",0.16,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.78,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0.28,0,0,0.28,1.23,5.55,3.26,0
53441110,Baklava,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1.9,0,1.9,0.88,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,6.89,17.68,2.89,0
53441210,Basbousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.05,0.14,0,0,7.81,6.49,0
53450000,"Turnover or dumpling, apple",0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,2.15,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,17.5,3.02,0
53450300,"Turnover or dumpling, berry",0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.19,2.87,0
53450500,"Turnover or dumpling, cherry",0.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1.74,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,14.49,2.98,0
53450800,"Turnover or dumpling, lemon",0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,1.63,0,1.63,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.53,14.58,3.3,0
53451000,"Turnover or dumpling, peach",0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,2.15,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,2.69,0
53451500,"Turnover, guava",0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.6,14.93,2.49,0
53451750,"Turnover, pumpkin",0,0,0,0,0.15,0,0.15,0,0.15,0,0,0,0,0,1.25,0,1.25,0.16,0,0,0,0,0,0,0,0.16,0,0,0,0.24,0.24,0,0,0,13.23,0.95,0
53452100,"Pastry, fruit-filled",0.48,0,0.48,0,0,0,0,0,0,0,0,0,0,0,1.39,0,1.39,0.71,0,0,0,0,0,0,0,0.09,0,0.62,0,0,0,0,0,4.72,12.36,2.39,0
